DOWN; 7; 32 16 2 0 0 0 2|2 2 4 8 0 2 0|2 0 2 0 2 0 0|0 0 2 16 0 4 0|0 0 4 0 2 2 0|0 4 4 0 8 0 0|2 2 0 0 4 0 0
RIGHT; 6; 2 2 16 64 4 2|0 0 2 2 0 2|4 0 0 16 2 4|0 2 4 8 2 2|2 2 2 2 2 0|16 0 16 4 0 2
DOWN; 4; 2 2 2 2|0 0 2 0|2 4 2 4|0 8 16 8
DOWN; 10; 16 0 4 0 0 4 8 0 0 0|0 0 0 2 0 2 2 0 2 4|2 2 4 8 8 0 8 2 4 0|2 2 8 0 2 0 8 2 0 2|8 4 64 0 2 2 0 0 2 0|4 0 8 4 0 0 0 2 4 2|0 0 2 0 4 0 0 4 8 64|8 0 16 4 0 64 2 4 4 2|16 8 0 0 0 0 4 0 0 16|2 4 4 8 0 8 0 4 0 2
LEFT; 7; 0 64 0 4 0 4 8|0 0 2 0 0 16 0|16 2 0 2 0 4 4|0 0 2 0 0 0 0|0 4 0 0 8 16 8|4 2 2 0 32 2 0|0 2 2 2 2 0 0
LEFT; 10; 2 2 0 0 4 2 2 2 0 2|0 0 4 0 2 2 2 2 2 0|0 2 0 4 2 0 0 2 32 2|0 2 4 2 4 8 0 4 2 2|2 0 0 4 2 64 8 4 2 4|2 0 2 0 8 0 0 0 2 0|0 2 4 0 2 2 4 0 4 2|2 8 0 32 0 0 4 2 32 0|0 0 0 8 4 2 16 2 0 0|0 32 0 0 2 4 2 4 0 2
RIGHT; 10; 4 8 2 2 2 2 16 2 0 2|0 0 8 64 0 4 0 0 8 2|0 2 4 0 0 0 8 2 0 8|8 0 0 0 0 0 2 0 16 2|4 0 2 0 0 0 2 0 0 0|0 2 0 2 4 2 4 4 0 0|0 2 0 0 2 16 8 16 0 2|2 4 2 0 2 4 2 2 2 0|64 2 0 0 0 8 0 2 4 2|2 0 2 0 0 0 2 0 0 8
LEFT; 7; 8 0 4 0 0 0 2|64 8 32 0 4 0 8|0 8 2 2 0 2 0|2 2 16 0 16 0 0|4 2 8 0 0 256 0|2 2 2 0 4 0 0|2 4 0 2 2 8 0
UP; 4; 0 4 2 2|4 0 4 0|0 8 0 4|4 0 0 4
DOWN; 5; 0 0 2 0 2|0 8 2 0 0|0 2 32 0 4|0 0 4 2 0|0 0 8 8 0
UP; 5; 2 2 0 2 2|0 0 0 16 16|2 4 0 32 0|4 4 2 0 2|0 0 0 2 0
LEFT; 7; 16 0 8 16 0 0 2|128 4 2 4 8 2 0|2 2 256 0 2 0 2|8 2 8 2 2 0 2|8 8 4 0 4 4 0|8 0 8 0 4 0 0|0 0 0 0 2 0 0
DOWN; 10; 8 0 0 2 2 2 8 8 2 512|16 2 8 4 2 8 8 2 2 0|16 8 0 0 0 0 2 2 2 2|2 0 0 4 32 8 8 0 0 0|0 0 2 2 8 4 8 0 0 32|32 2 0 4 4 2 8 2 2 8|0 0 0 4 16 4 2 4 2 0|4 0 16 2 0 2 0 2 64 0|16 0 2 4 2 0 2 2 2 0|2 2 32 4 0 2 2 4 4 8
LEFT; 10; 0 2 2 32 4 0 32 4 4 4|0 0 0 0 8 0 2 0 4 0|0 2 16 8 4 0 4 2 0 8|0 2 2 0 4 8 2 0 0 0|2 8 0 0 0 16 0 4 4 4|2 0 4 4 2 2 0 2 0 0|0 2 0 0 0 2 256 8 0 0|4 0 2 2 0 2 4 8 8 0|32 8 2 2 4 0 0 0 0 0|0 16 0 0 0 0 2 0 4 0
UP; 4; 4 0 4 4|8 0 2 0|0 0 0 0|32 2 2 4
DOWN; 7; 0 0 2 0 2 0 8|0 0 0 2 4 0 4|2 2 2 2 0 0 2|0 4 2 32 0 0 0|0 0 2 0 0 8 2|2 4 0 0 0 2 2|4 2 2 0 4 2 2
UP; 8; 0 0 2 2 32 0 2 2|2 2 4 2 2 8 0 2|2 0 0 2 0 2 0 4|64 2 0 2 8 0 0 0|2 4 0 0 2 8 4 2|0 16 4 2 0 2 0 0|2 16 4 2 8 0 0 2|0 0 0 2 4 2 8 0
UP; 7; 0 4 8 0 2 8 0|2 4 4 0 2 8 4|8 32 8 2 2 0 0|16 8 0 4 0 16 4|4 2 0 0 0 8 0|2 2 8 0 0 0 4|4 16 0 16 4 2 0
RIGHT; 6; 0 4 2 16 16 0|0 2 8 0 2 4|8 4 2 0 0 0|16 4 8 0 0 0|4 2 2 2 2 2|4 4 8 4 0 2
UP; 8; 16 2 0 0 0 0 2 0|0 0 128 2 16 2 4 0|0 4 2 0 0 16 0 0|4 0 2 0 4 2 0 16|2 0 0 8 0 0 4 0|2 2 0 4 0 4 0 2|0 0 0 0 4 4 4 8|2 2 2 2 0 8 2 0
DOWN; 4; 16 0 2 2|2 0 2 0|4 4 0 0|0 2 4 4
RIGHT; 10; 2 2 2 8 0 2 0 4 32 0|8 0 4 16 0 2 0 2 2 0|0 8 2 2 8 256 0 2 0 0|0 16 0 2 0 0 0 2 8 0|0 0 0 4 4 0 4 2 0 0|2 0 0 8 0 0 4 2 2 0|0 8 2 512 0 0 8 0 4 2|8 0 16 2 0 2 0 4 0 4|4 0 2 4 0 8 0 2 0 2|0 8 0 2 2 0 2 2 0 0
UP; 8; 0 2 2 64 2 4 0 0|0 2 4 16 2 16 0 0|2 2 2 2 2 0 2 2|0 0 2 0 2 2 4 0|2 2 2 2 0 0 8 2|0 0 2 8 2 64 0 0|0 32 2 16 0 4 0 2|0 0 0 8 4 4 0 4
UP; 5; 2 16 0 0 4|2 0 8 2 4|0 4 0 2 0|2 0 0 64 2|0 0 2 2 0
RIGHT; 5; 0 2 2 0 4|0 0 2 0 2|32 16 0 0 8|0 4 0 4 0|16 2 0 0 2
DOWN; 4; 32 4 0 0|0 2 2 16|0 0 2 4|2 0 2 2
LEFT; 9; 0 8 0 2 2 128 2 0 0|2 0 0 2 0 0 0 16 8|2 4 8 2 4 0 4 0 0|0 2 4 16 4 4 64 32 2|4 0 0 0 2 0 8 0 2|2 0 2 0 4 2 2 0 2|4 0 16 0 8 0 2 0 2|0 16 16 2 8 0 16 0 0|2 2 2 0 4 0 2 2 2
LEFT; 10; 2 0 4 4 2 4 2 0 0 512|4 8 8 0 0 2 0 0 2 0|2 0 0 2 16 0 2 0 4 4|0 0 2 0 2 8 0 0 4 2|2 512 0 32 0 0 4 4 2 0|0 0 16 0 8 2 0 2 0 16|0 2 2 2 2 2 4 4 2 0|4 0 0 8 0 2 2 2 0 0|0 0 2 2 4 128 4 0 0 0|4 0 8 0 0 2 2 2 0 2
UP; 9; 0 4 0 2 2 0 0 0 2|2 16 0 2 4 0 0 0 2|2 2 0 0 2 0 4 2 8|2 8 0 4 0 0 2 0 0|0 0 16 0 8 2 0 0 2|4 0 4 4 2 0 0 2 2|2 0 32 0 0 4 2 4 4|4 8 8 8 2 0 0 2 4|0 0 2 0 0 0 32 4 0
RIGHT; 8; 8 2 8 0 2 0 0 2|8 2 16 4 16 4 2 0|8 8 4 8 4 2 0 4|0 0 0 0 0 2 32 0|2 8 2 2 0 8 4 0|4 2 0 4 0 0 0 16|2 2 4 0 0 0 2 2|0 2 8 16 0 2 2 0
LEFT; 4; 0 2 0 2|2 4 0 4|0 32 0 2|4 4 0 2
UP; 6; 2 0 0 2 0 16|2 2 4 0 2 0|64 0 0 0 2 0|2 0 0 8 4 0|0 0 2 0 0 0|2 2 0 0 4 4
DOWN; 9; 0 4 2 2 0 0 4 2 16|2 2 0 0 2 2 2 0 0|0 0 0 2 2 8 4 2 0|4 2 4 0 2 2 4 0 0|32 0 0 0 0 4 0 4 0|2 0 0 0 4 2 8 2 0|0 2 0 0 2 0 0 4 0|0 8 64 0 2 2 0 0 2|4 2 16 2 0 0 0 0 2
UP; 7; 0 0 0 4 0 2 4|2 0 4 2 8 0 0|0 2 0 2 0 0 0|2 0 0 2 0 16 2|2 0 0 32 2 2 0|0 4 2 0 0 2 0|4 0 8 8 0 2 0
DOWN; 4; 2 4 0 2|0 2 8 0|0 64 8 2|0 2 4 4
UP; 4; 0 2 0 4|0 0 2 0|0 64 0 0|0 16 32 2
RIGHT; 5; 0 8 2 4 32|0 0 2 0 2|0 0 0 0 0|0 4 2 0 2|0 0 4 0 2
UP; 7; 0 0 16 8 0 2 2|4 0 0 4 2 2 64|4 2 0 0 256 0 4|4 0 16 4 16 4 0|2 2 0 2 0 16 0|0 32 128 0 0 128 2|0 0 0 32 4 2 4
LEFT; 7; 2 2 8 4 4 0 2|0 2 0 4 2 2 2|0 0 0 0 0 0 0|2 0 0 8 2 4 0|2 0 2 4 2 0 0|0 8 8 8 8 2 0|4 0 4 0 0 0 0
RIGHT; 10; 0 8 2 4 2 2 0 0 2 4|0 4 8 0 0 0 0 2 2 0|2 0 0 16 8 2 0 0 2 4|8 256 0 2 2 2 0 2 8 4|4 4 2 0 0 0 4 0 0 2|4 0 0 16 2 0 2 2 0 0|16 4 2 2 0 0 2 0 2 16|0 0 2 4 0 0 0 0 0 0|2 0 4 4 0 0 0 4 16 8|0 0 0 0 0 8 2 0 0 8
